review_id,transaction_id,customer_id,product_id,store_id,review_date,rating,sentiment,review_text
R00042,T0103368,C00479,P0032,S006,2024-01-22,3,Neutral,Met my basic expectations.
R00043,T0096146,C01459,P0155,S014,2023-12-06,1,Negative,"Terrible quality, complete waste of money."
R00044,T0020588,C08122,P0051,S016,2022-06-16,4,Positive,Best purchase I've made this year.
R00045,T0135658,C01310,P0183,S020,2024-09-30,3,Neutral,"Product works fine, delivery was slow."
R00046,T0108286,C08394,P0217,S025,2024-03-05,4,Positive,Incredibly impressed with this item.
R00047,T0131562,C00698,P0217,S013,2024-08-31,4,Positive,"Great value for money, highly recommend."
R00048,T0049368,C04726,P0155,S006,2022-12-26,1,Negative,"Arrived damaged, very frustrating experience."
R00049,T0151018,C04281,P0079,S016,2024-12-28,1,Negative,"Worst purchase ever, do not recommend."
R00050,T0010768,C06012,P0167,S016,2022-04-04,3,Neutral,"Product works fine, delivery was slow."
R00051,T0072294,C02779,P0002,S016,2023-06-25,4,Positive,"Great value for money, highly recommend."
R00052,T0004711,C09504,P0162,S023,2022-02-13,5,Positive,Best purchase I've made this year.
R00053,T0042945,C03134,P0038,S004,2022-11-23,5,Positive,"Great value for money, highly recommend."
R00054,T0114121,C05238,P0091,S013,2024-04-20,4,Positive,"Perfect for my needs, love the quality."
R00055,T0123713,C05302,P0172,S004,2024-06-29,4,Positive,"Amazing product, exceeded my expectations!"
R00056,T0031318,C05314,P0160,S022,2022-09-08,3,Neutral,Met my basic expectations.
R00057,T0080930,C06408,P0032,S010,2023-08-31,2,Negative,Very disappointed with the quality.
R00058,T0033483,C04538,P0097,S008,2022-09-24,5,Positive,"Great value for money, highly recommend."
R00059,T0142656,C08041,P0211,S023,2024-11-14,4,Positive,"Will definitely buy again, very satisfied."
R00060,T0117056,C04576,P0161,S003,2024-05-12,2,Negative,"Worst purchase ever, do not recommend."
R00061,T0060492,C02966,P0086,S021,2023-03-29,5,Positive,Incredibly impressed with this item.
R00062,T0002942,C04492,P0224,S016,2022-01-27,3,Neutral,OK quality for the price.
R00063,T0100091,C00329,P0213,S001,2023-12-26,5,Positive,Fast shipping and excellent quality.
R00064,T0016605,C09011,P0216,S008,2022-05-17,4,Positive,Outstanding service and product quality!
R00065,T0025463,C08684,P0100,S001,2022-07-22,2,Negative,"Arrived damaged, very frustrating experience."
R00066,T0103997,C07452,P0049,S020,2024-01-28,5,Positive,"Will definitely buy again, very satisfied."
R00067,T0082728,C01061,P0116,S006,2023-09-13,5,Positive,Fast shipping and excellent quality.
R00068,T0052307,C00458,P0199,S022,2023-01-18,4,Positive,"Will definitely buy again, very satisfied."
R00069,T0104572,C09454,P0131,S017,2024-02-01,2,Negative,Extremely unhappy with this product.
R00070,T0128041,C04228,P0055,S011,2024-08-01,2,Negative,"Worst purchase ever, do not recommend."
R00071,T0036551,C08736,P0075,S025,2022-10-14,5,Positive,"Perfect for my needs, love the quality."
R00072,T0027805,C01365,P0019,S006,2022-08-11,5,Positive,"Great value for money, highly recommend."
R00073,T0041679,C09072,P0109,S020,2022-11-15,3,Neutral,"Decent product, does what it says."
R00074,T0146270,C06475,P0087,S004,2024-12-04,5,Positive,"Perfect for my needs, love the quality."
R00075,T0049301,C08224,P0079,S003,2022-12-26,3,Neutral,Met my basic expectations.
R00076,T0064941,C00640,P0014,S011,2023-05-02,5,Positive,"Amazing product, exceeded my expectations!"
R00077,T0129344,C02253,P0202,S010,2024-08-12,5,Positive,"Perfect for my needs, love the quality."
R00078,T0073679,C08074,P0011,S010,2023-07-04,3,Neutral,"Product works fine, delivery was slow."
R00079,T0090393,C05461,P0191,S017,2023-11-04,5,Positive,"Amazing product, exceeded my expectations!"
R00080,T0044695,C03462,P0031,S002,2022-12-02,1,Negative,"Not as described, very misleading."
R00081,T0027324,C08616,P0056,S005,2022-08-07,5,Positive,"Perfect for my needs, love the quality."
R00082,T0065381,C08719,P0008,S012,2023-05-06,4,Positive,Outstanding service and product quality!
R00083,T0145694,C09900,P0137,S004,2024-12-01,2,Negative,"Worst purchase ever, do not recommend."
R00084,T0109211,C05851,P0163,S010,2024-03-13,5,Positive,Incredibly impressed with this item.
R00085,T0142822,C04701,P0184,S007,2024-11-15,3,Neutral,"Decent product, does what it says."
R00086,T0128857,C06429,P0205,S021,2024-08-07,5,Positive,"Will definitely buy again, very satisfied."
R00087,T0039523,C05498,P0135,S025,2022-11-03,3,Neutral,OK quality for the price.
R00088,T0072845,C08365,P0013,S013,2023-06-29,3,Neutral,"Average experience, could be better."
R00089,T0076541,C04348,P0089,S007,2023-07-27,4,Positive,"Amazing product, exceeded my expectations!"
R00090,T0116015,C03701,P0147,S014,2024-05-04,3,Neutral,"Product works fine, delivery was slow."
R00091,T0004796,C09351,P0032,S015,2022-02-13,3,Neutral,Nothing special but gets the job done.
R00092,T0039328,C02475,P0120,S009,2022-11-01,4,Positive,"Amazing product, exceeded my expectations!"
R00093,T0148536,C07979,P0018,S017,2024-12-16,4,Positive,"Perfect for my needs, love the quality."
R00094,T0058080,C03802,P0197,S008,2023-03-10,4,Positive,"Perfect for my needs, love the quality."
R00095,T0102359,C01235,P0061,S023,2024-01-12,5,Positive,Incredibly impressed with this item.
R00096,T0041420,C07894,P0113,S004,2022-11-13,4,Positive,Outstanding service and product quality!
R00097,T0031842,C02072,P0129,S022,2022-09-12,4,Positive,Incredibly impressed with this item.
R00098,T0017406,C08122,P0180,S014,2022-05-23,4,Positive,"Perfect for my needs, love the quality."
R00099,T0136626,C02933,P0188,S019,2024-10-07,3,Neutral,Nothing special but gets the job done.
R00100,T0119207,C06029,P0012,S012,2024-05-27,4,Positive,"Perfect for my needs, love the quality."
R00101,T0114336,C05139,P0115,S015,2024-04-22,1,Negative,"Terrible quality, complete waste of money."
R00102,T0011915,C08127,P0123,S003,2022-04-12,4,Positive,Outstanding service and product quality!
R00103,T0013166,C09224,P0184,S024,2022-04-21,4,Positive,"Great value for money, highly recommend."
R00104,T0007129,C05108,P0206,S004,2022-03-06,3,Neutral,OK quality for the price.
R00105,T0057390,C05953,P0226,S006,2023-03-04,5,Positive,"Great value for money, highly recommend."
R00106,T0025390,C04616,P0123,S004,2022-07-21,5,Positive,"Great value for money, highly recommend."
R00107,T0112920,C06679,P0073,S019,2024-04-10,5,Positive,Outstanding service and product quality!
R00108,T0090400,C00163,P0185,S002,2023-11-04,5,Positive,Incredibly impressed with this item.
R00109,T0016315,C09100,P0044,S014,2022-05-15,5,Positive,"Great value for money, highly recommend."
R00110,T0134656,C01320,P0042,S010,2024-09-23,2,Negative,Extremely unhappy with this product.
R00111,T0148939,C01588,P0218,S010,2024-12-18,4,Positive,"Will definitely buy again, very satisfied."
R00112,T0132868,C00427,P0114,S016,2024-09-10,2,Negative,Extremely unhappy with this product.
R00113,T0006975,C09869,P0082,S012,2022-03-05,3,Neutral,"Average experience, could be better."
R00114,T0039991,C06710,P0095,S013,2022-11-05,4,Positive,"Perfect for my needs, love the quality."
R00115,T0041115,C00956,P0039,S004,2022-11-12,5,Positive,"Will definitely buy again, very satisfied."
R00116,T0034114,C03447,P0159,S019,2022-09-28,3,Neutral,Nothing special but gets the job done.
R00117,T0119172,C09276,P0215,S022,2024-05-27,2,Negative,Product broke after one week of use.
R00118,T0110672,C01560,P0099,S009,2024-03-25,5,Positive,Fast shipping and excellent quality.
R00119,T0003167,C09367,P0164,S024,2022-01-29,4,Positive,"Great value for money, highly recommend."
R00120,T0112192,C09161,P0002,S018,2024-04-05,5,Positive,"Will definitely buy again, very satisfied."
R00121,T0073807,C00377,P0080,S010,2023-07-06,4,Positive,"Perfect for my needs, love the quality."
R00122,T0144281,C08848,P0168,S013,2024-11-24,5,Positive,Incredibly impressed with this item.
R00123,T0110180,C08740,P0069,S020,2024-03-20,1,Negative,Very disappointed with the quality.
R00124,T0020670,C01052,P0137,S011,2022-06-16,5,Positive,Outstanding service and product quality!
R00125,T0006758,C02128,P0090,S013,2022-03-03,3,Neutral,Met my basic expectations.
R00126,T0099082,C09260,P0025,S021,2023-12-21,3,Neutral,"Decent product, does what it says."
R00127,T0042152,C00273,P0082,S004,2022-11-18,5,Positive,"Great value for money, highly recommend."
R00128,T0039718,C05801,P0196,S001,2022-11-04,5,Positive,"Will definitely buy again, very satisfied."
R00129,T0070476,C07993,P0087,S007,2023-06-11,3,Neutral,Met my basic expectations.
R00130,T0093051,C05212,P0134,S017,2023-11-19,1,Negative,"Arrived damaged, very frustrating experience."
R00131,T0077038,C07055,P0122,S006,2023-07-31,3,Neutral,Met my basic expectations.
R00132,T0070037,C04809,P0182,S025,2023-06-08,5,Positive,Incredibly impressed with this item.
R00133,T0026183,C02352,P0183,S002,2022-07-28,4,Positive,Incredibly impressed with this item.
R00134,T0126989,C07820,P0204,S021,2024-07-23,4,Positive,Incredibly impressed with this item.
R00135,T0003510,C04205,P0188,S021,2022-02-01,5,Positive,"Great value for money, highly recommend."
R00136,T0014652,C03053,P0175,S006,2022-05-02,3,Neutral,OK quality for the price.
R00137,T0015828,C08398,P0089,S001,2022-05-12,4,Positive,"Will definitely buy again, very satisfied."
R00138,T0076206,C02429,P0129,S020,2023-07-25,3,Neutral,OK quality for the price.
R00139,T0047227,C01322,P0136,S021,2022-12-15,4,Positive,Outstanding service and product quality!
R00140,T0048149,C03704,P0037,S022,2022-12-20,3,Neutral,Met my basic expectations.
R00141,T0046882,C05191,P0096,S005,2022-12-14,1,Negative,"Terrible quality, complete waste of money."
R00142,T0098940,C06995,P0132,S010,2023-12-21,4,Positive,"Perfect for my needs, love the quality."
R00143,T0100077,C00027,P0060,S013,2023-12-26,2,Negative,"Terrible quality, complete waste of money."
R00144,T0022962,C06251,P0142,S004,2022-07-02,5,Positive,"Great value for money, highly recommend."
R00145,T0105764,C04026,P0071,S016,2024-02-12,4,Positive,Best purchase I've made this year.
R00146,T0117261,C01102,P0063,S005,2024-05-13,2,Negative,"Arrived damaged, very frustrating experience."
R00147,T0088299,C05579,P0143,S003,2023-10-22,2,Negative,"Poor customer service, won't buy again."
R00148,T0136805,C03638,P0171,S012,2024-10-08,5,Positive,Fast shipping and excellent quality.
R00149,T0079926,C02055,P0061,S016,2023-08-23,4,Positive,"Amazing product, exceeded my expectations!"
R00150,T0036691,C07762,P0099,S012,2022-10-15,3,Neutral,"Average experience, could be better."
R00151,T0105725,C00001,P0127,S015,2024-02-11,3,Neutral,"Decent product, does what it says."
R00152,T0130403,C06828,P0031,S014,2024-08-21,4,Positive,"Great value for money, highly recommend."
R00153,T0051457,C04453,P0176,S015,2023-01-11,3,Neutral,OK quality for the price.
R00154,T0026131,C06894,P0223,S013,2022-07-27,5,Positive,"Amazing product, exceeded my expectations!"
R00155,T0140063,C06026,P0115,S011,2024-10-31,4,Positive,Best purchase I've made this year.
R00156,T0135399,C05754,P0218,S017,2024-09-28,5,Positive,"Amazing product, exceeded my expectations!"
R00157,T0136997,C03742,P0180,S008,2024-10-10,4,Positive,Incredibly impressed with this item.
R00158,T0023311,C07942,P0090,S014,2022-07-05,2,Negative,"Worst purchase ever, do not recommend."
R00159,T0014777,C07270,P0216,S014,2022-05-03,4,Positive,Incredibly impressed with this item.
R00160,T0008907,C00892,P0122,S011,2022-03-20,2,Negative,Very disappointed with the quality.
R00161,T0141324,C02296,P0091,S016,2024-11-06,5,Positive,Outstanding service and product quality!
R00162,T0119520,C00363,P0145,S016,2024-05-29,3,Neutral,Nothing special but gets the job done.
R00163,T0042166,C04833,P0113,S006,2022-11-18,3,Neutral,Nothing special but gets the job done.
R00164,T0010741,C09550,P0038,S001,2022-04-03,3,Neutral,"Average experience, could be better."
R00165,T0106025,C06300,P0118,S003,2024-02-14,3,Neutral,Nothing special but gets the job done.
R00166,T0133494,C05623,P0204,S023,2024-09-14,5,Positive,Incredibly impressed with this item.
R00167,T0104364,C00649,P0142,S024,2024-01-31,2,Negative,Extremely unhappy with this product.
R00168,T0113162,C00224,P0117,S020,2024-04-12,3,Neutral,"Decent product, does what it says."
R00169,T0020121,C07702,P0044,S008,2022-06-12,5,Positive,"Perfect for my needs, love the quality."
R00170,T0056115,C01790,P0202,S004,2023-02-21,3,Neutral,Met my basic expectations.
R00171,T0045346,C02017,P0185,S020,2022-12-06,5,Positive,Incredibly impressed with this item.
R00172,T0048225,C00336,P0205,S016,2022-12-21,5,Positive,"Great value for money, highly recommend."
R00173,T0006217,C09108,P0199,S023,2022-02-26,2,Negative,"Worst purchase ever, do not recommend."
R00174,T0145848,C06156,P0134,S011,2024-12-02,4,Positive,"Perfect for my needs, love the quality."
R00175,T0112242,C08773,P0095,S012,2024-04-06,3,Neutral,"Decent product, does what it says."
R00176,T0145003,C07579,P0133,S021,2024-11-28,5,Positive,"Great value for money, highly recommend."
R00177,T0044741,C05973,P0074,S002,2022-12-03,5,Positive,"Will definitely buy again, very satisfied."
R00178,T0036121,C08597,P0189,S005,2022-10-11,5,Positive,Best purchase I've made this year.
R00179,T0068789,C01543,P0099,S023,2023-05-30,5,Positive,Best purchase I've made this year.
R00180,T0122885,C00212,P0016,S020,2024-06-23,3,Neutral,"Average experience, could be better."
R00181,T0099129,C00148,P0175,S003,2023-12-22,4,Positive,Best purchase I've made this year.
R00182,T0114660,C05907,P0152,S015,2024-04-24,4,Positive,"Perfect for my needs, love the quality."
R00183,T0149624,C09324,P0127,S020,2024-12-21,5,Positive,Outstanding service and product quality!
R00184,T0084044,C08096,P0160,S003,2023-09-23,5,Positive,"Will definitely buy again, very satisfied."
R00185,T0147428,C02535,P0037,S009,2024-12-10,3,Neutral,Nothing special but gets the job done.
R00186,T0027247,C09601,P0137,S024,2022-08-06,4,Positive,"Great value for money, highly recommend."
R00187,T0136163,C03325,P0189,S001,2024-10-04,3,Neutral,"Decent product, does what it says."
R00188,T0126397,C06867,P0040,S013,2024-07-19,1,Negative,"Worst purchase ever, do not recommend."
R00189,T0041170,C02870,P0139,S023,2022-11-12,3,Neutral,Met my basic expectations.
R00190,T0099034,C03571,P0193,S007,2023-12-21,3,Neutral,Met my basic expectations.
R00191,T0050539,C05724,P0088,S007,2023-01-02,5,Positive,Incredibly impressed with this item.
R00192,T0035937,C07633,P0088,S010,2022-10-10,5,Positive,Incredibly impressed with this item.
R00193,T0042686,C06903,P0208,S002,2022-11-21,1,Negative,Product broke after one week of use.
R00194,T0020202,C09399,P0182,S009,2022-06-13,3,Neutral,Met my basic expectations.
R00195,T0109378,C06276,P0020,S010,2024-03-14,3,Neutral,OK quality for the price.
R00196,T0024559,C03164,P0185,S025,2022-07-15,3,Neutral,Met my basic expectations.
R00197,T0113865,C06890,P0167,S006,2024-04-18,4,Positive,"Great value for money, highly recommend."
R00198,T0076504,C08955,P0184,S012,2023-07-27,5,Positive,"Amazing product, exceeded my expectations!"
R00199,T0031722,C09660,P0225,S006,2022-09-11,3,Neutral,OK quality for the price.
R00200,T0112688,C05115,P0042,S014,2024-04-08,3,Neutral,OK quality for the price.
R00201,T0091671,C04070,P0173,S007,2023-11-11,5,Positive,"Amazing product, exceeded my expectations!"
R00202,T0136946,C05850,P0189,S025,2024-10-09,1,Negative,"Not as described, very misleading."
R00203,T0001091,C06994,P0188,S021,2022-01-11,5,Positive,Incredibly impressed with this item.
R00204,T0091116,C08381,P0144,S004,2023-11-08,4,Positive,"Amazing product, exceeded my expectations!"
R00205,T0066015,C02425,P0175,S015,2023-05-10,1,Negative,Extremely unhappy with this product.
R00206,T0020356,C09167,P0122,S020,2022-06-14,3,Neutral,Nothing special but gets the job done.
R00207,T0006094,C02792,P0151,S020,2022-02-25,5,Positive,Best purchase I've made this year.
R00208,T0125018,C02768,P0193,S009,2024-07-08,5,Positive,Best purchase I've made this year.
R00209,T0113925,C00086,P0222,S015,2024-04-18,4,Positive,Fast shipping and excellent quality.
R00210,T0133395,C03087,P0085,S011,2024-09-13,3,Neutral,Met my basic expectations.
R00211,T0107240,C04862,P0189,S023,2024-02-26,5,Positive,"Amazing product, exceeded my expectations!"
R00212,T0076213,C01780,P0183,S006,2023-07-25,3,Neutral,"Product works fine, delivery was slow."
R00213,T0034103,C07932,P0006,S025,2022-09-28,2,Negative,Extremely unhappy with this product.
R00214,T0033214,C05208,P0044,S025,2022-09-22,3,Neutral,Nothing special but gets the job done.
R00215,T0025846,C05262,P0136,S021,2022-07-25,4,Positive,Outstanding service and product quality!
R00216,T0123137,C00291,P0028,S013,2024-06-25,3,Neutral,"Decent product, does what it says."
R00217,T0113498,C08107,P0048,S012,2024-04-15,5,Positive,Outstanding service and product quality!
R00218,T0010818,C02848,P0073,S018,2022-04-04,5,Positive,Best purchase I've made this year.
R00219,T0032999,C00972,P0095,S005,2022-09-20,4,Positive,"Great value for money, highly recommend."
R00220,T0149201,C00142,P0021,S018,2024-12-19,5,Positive,Best purchase I've made this year.
R00221,T0012067,C01349,P0071,S013,2022-04-13,2,Negative,"Terrible quality, complete waste of money."
R00222,T0036638,C08825,P0224,S007,2022-10-15,5,Positive,"Amazing product, exceeded my expectations!"
R00223,T0020303,C07094,P0066,S005,2022-06-14,5,Positive,Incredibly impressed with this item.
R00224,T0038140,C09879,P0077,S009,2022-10-25,2,Negative,"Worst purchase ever, do not recommend."
R00225,T0128167,C07662,P0008,S023,2024-08-02,5,Positive,"Amazing product, exceeded my expectations!"
R00226,T0040115,C00602,P0048,S011,2022-11-06,3,Neutral,Met my basic expectations.
R00227,T0038242,C05995,P0083,S009,2022-10-25,4,Positive,Outstanding service and product quality!
R00228,T0110793,C07970,P0013,S013,2024-03-25,4,Positive,Outstanding service and product quality!
R00229,T0024451,C05326,P0175,S012,2022-07-14,1,Negative,Extremely unhappy with this product.
R00230,T0062415,C03502,P0102,S016,2023-04-13,5,Positive,Incredibly impressed with this item.
R00231,T0109131,C02652,P0115,S019,2024-03-12,5,Positive,Fast shipping and excellent quality.
R00232,T0140673,C01130,P0126,S011,2024-11-03,5,Positive,Incredibly impressed with this item.
R00233,T0142787,C06529,P0099,S008,2024-11-15,5,Positive,Outstanding service and product quality!
R00234,T0108366,C08860,P0184,S022,2024-03-06,5,Positive,"Will definitely buy again, very satisfied."
R00235,T0090060,C05398,P0117,S005,2023-11-02,4,Positive,"Will definitely buy again, very satisfied."
R00236,T0097908,C00085,P0207,S016,2023-12-15,5,Positive,Best purchase I've made this year.
R00237,T0067070,C06127,P0194,S021,2023-05-18,3,Neutral,OK quality for the price.
R00238,T0004666,C04848,P0022,S020,2022-02-12,4,Positive,Outstanding service and product quality!
R00239,T0105568,C08785,P0079,S004,2024-02-10,5,Positive,Outstanding service and product quality!
R00240,T0059976,C07541,P0089,S015,2023-03-25,5,Positive,Fast shipping and excellent quality.
R00241,T0055950,C04955,P0115,S004,2023-02-19,1,Negative,Product broke after one week of use.
R00242,T0111417,C04635,P0159,S015,2024-03-30,2,Negative,"Not as described, very misleading."
R00243,T0098458,C03373,P0029,S006,2023-12-18,3,Neutral,OK quality for the price.
R00244,T0060906,C08955,P0226,S001,2023-04-01,1,Negative,"Poor customer service, won't buy again."
R00245,T0040843,C06501,P0115,S009,2022-11-10,5,Positive,Fast shipping and excellent quality.
R00246,T0112018,C02470,P0110,S015,2024-04-04,4,Positive,Incredibly impressed with this item.
R00247,T0016090,C02783,P0151,S014,2022-05-14,3,Neutral,Met my basic expectations.
R00248,T0108662,C02997,P0171,S006,2024-03-08,3,Neutral,OK quality for the price.
R00249,T0120110,C03810,P0134,S016,2024-06-02,4,Positive,Incredibly impressed with this item.
R00250,T0099618,C04205,P0129,S003,2023-12-24,4,Positive,Fast shipping and excellent quality.
R00251,T0057644,C04746,P0101,S001,2023-03-06,1,Negative,"Terrible quality, complete waste of money."
R00252,T0094520,C07729,P0158,S014,2023-11-28,3,Neutral,"Product works fine, delivery was slow."
R00253,T0132055,C07026,P0104,S023,2024-09-03,5,Positive,"Great value for money, highly recommend."
R00254,T0094351,C04955,P0149,S011,2023-11-27,3,Neutral,Met my basic expectations.
R00255,T0046967,C06149,P0068,S010,2022-12-14,4,Positive,Incredibly impressed with this item.
R00256,T0104880,C00880,P0127,S021,2024-02-04,4,Positive,Outstanding service and product quality!
R00257,T0043255,C06644,P0138,S022,2022-11-24,5,Positive,"Will definitely buy again, very satisfied."
R00258,T0136152,C01616,P0024,S008,2024-10-04,5,Positive,Outstanding service and product quality!
R00259,T0034044,C03983,P0068,S021,2022-09-27,4,Positive,"Great value for money, highly recommend."
R00260,T0065609,C03139,P0188,S006,2023-05-08,3,Neutral,"Average experience, could be better."
R00261,T0055525,C05948,P0190,S023,2023-02-16,4,Positive,"Amazing product, exceeded my expectations!"
R00262,T0119377,C06816,P0039,S004,2024-05-28,4,Positive,"Amazing product, exceeded my expectations!"
R00263,T0142457,C06025,P0081,S003,2024-11-13,4,Positive,"Great value for money, highly recommend."
R00264,T0140899,C09916,P0054,S024,2024-11-04,4,Positive,"Will definitely buy again, very satisfied."
R00265,T0068163,C08370,P0009,S023,2023-05-26,2,Negative,Very disappointed with the quality.
R00266,T0087738,C06763,P0157,S007,2023-10-18,3,Neutral,"Average experience, could be better."
R00267,T0073109,C01402,P0043,S022,2023-06-30,2,Negative,"Arrived damaged, very frustrating experience."
R00268,T0032367,C01890,P0053,S014,2022-09-16,2,Negative,"Terrible quality, complete waste of money."
R00269,T0060692,C06192,P0017,S022,2023-03-31,4,Positive,Best purchase I've made this year.
R00270,T0127237,C06509,P0125,S006,2024-07-25,4,Positive,Fast shipping and excellent quality.
R00271,T0089881,C06398,P0177,S023,2023-11-01,1,Negative,Product broke after one week of use.
R00272,T0106953,C05875,P0044,S007,2024-02-23,1,Negative,Product broke after one week of use.
R00273,T0133968,C07889,P0009,S007,2024-09-18,3,Neutral,OK quality for the price.
R00274,T0037860,C02130,P0217,S005,2022-10-23,3,Neutral,"Product works fine, delivery was slow."
R00275,T0037628,C02841,P0144,S012,2022-10-21,3,Neutral,Met my basic expectations.
R00276,T0008159,C01242,P0208,S008,2022-03-14,5,Positive,Best purchase I've made this year.
R00277,T0024371,C07624,P0004,S009,2022-07-14,4,Positive,Best purchase I've made this year.
R00278,T0148188,C01731,P0158,S018,2024-12-14,3,Neutral,"Product works fine, delivery was slow."
R00279,T0027830,C05070,P0037,S004,2022-08-11,3,Neutral,OK quality for the price.
R00280,T0143279,C09043,P0049,S022,2024-11-18,4,Positive,"Will definitely buy again, very satisfied."
R00281,T0032076,C07188,P0085,S012,2022-09-13,5,Positive,"Great value for money, highly recommend."
R00282,T0148760,C00278,P0033,S002,2024-12-17,5,Positive,"Perfect for my needs, love the quality."
R00283,T0084528,C04341,P0123,S017,2023-09-27,4,Positive,Fast shipping and excellent quality.
R00284,T0108880,C04752,P0153,S023,2024-03-10,1,Negative,"Poor customer service, won't buy again."
R00285,T0058983,C06024,P0165,S022,2023-03-17,5,Positive,Outstanding service and product quality!
R00286,T0078758,C03207,P0105,S007,2023-08-14,4,Positive,Incredibly impressed with this item.
R00287,T0051734,C00172,P0225,S010,2023-01-13,5,Positive,Fast shipping and excellent quality.
R00288,T0036478,C05272,P0033,S016,2022-10-14,3,Neutral,"Product works fine, delivery was slow."
R00289,T0066947,C06232,P0143,S005,2023-05-17,5,Positive,Incredibly impressed with this item.
R00290,T0145803,C00828,P0080,S003,2024-12-02,4,Positive,Best purchase I've made this year.
R00291,T0087560,C07463,P0050,S004,2023-10-17,4,Positive,"Will definitely buy again, very satisfied."
R00292,T0129198,C08664,P0121,S016,2024-08-10,4,Positive,"Perfect for my needs, love the quality."
R00293,T0075871,C05642,P0002,S023,2023-07-22,5,Positive,Fast shipping and excellent quality.
R00294,T0036967,C01938,P0199,S006,2022-10-17,4,Positive,"Great value for money, highly recommend."
R00295,T0124186,C00148,P0098,S004,2024-07-02,1,Negative,Product broke after one week of use.
R00296,T0101622,C02417,P0200,S010,2024-01-05,5,Positive,"Will definitely buy again, very satisfied."
